nemultumiri_sist_fiscal,schimbari_sist_fiscal,ce_ofera_sistemul,nemultumiri_sist_fiscal_sentiment,schimbari_sist_fiscal_sentiment,ce_ofera_sistemul_sentiment,nemultumiri_sist_fiscal_prep,schimbari_sist_fiscal_prep,ce_ofera_sistemul_prep
"Sistemul fiscal romanesc este un sistem rudimentar. Ceea ce ma nemulteste sunt procedurile complicate, de exemplu inregistrarea unei firme la Registrul Comertului, iar mai apoi in scop de TVA necesita mult timp, cat si birocratia excesiva. ","Aplicarea unor sanctiuni mai drastice, reducerea numarului de taxe, reducerea evaziunii fiscale.","Din punctul meu de vedere, sistemul fiscal actual are o contributie semnificativa asupra dezvoltarii economico - sociale a statului. Deoarece sistemul fiscal cuprinde o diversitate de impozite si taxe, acestea afecteaza veniturile tuturor persoanelor fizice sau juridice, mai ales prin intermediul preturilor.",0,0,1,sist fiscal roman este sist rudimentar cee nemultest sunt procedur complic exemplu inregistr une firm registr comert apo scop neces mult timp birocrat exces,aplic unor sanctiun drastic reduc numar tax reduc evaziun fiscal,punct veder sist fiscal actual contribut semnific asupr dezvoltar economico social stat deoarec sist fiscal cuprind divers impoz tax acest afecteaz venitur tuturor persoan fizic jurid ales prin intermed pretur
Birocrația ,Reducerea evaziunii fiscale și crearea unor sancțiuni mai drastice. ,Siguranța și ajuta la o dezvoltare economică a statului ,0,0,1,birocrat,reduc evaziun fiscal crear unor sanctiun drastic,sigurant ajut dezvolt econom stat
taxe si impozite ridicate,multe,Prin plata taxelor si impozitelor îmi creează senzația că plătesc un seviciu public de care voi beneficia la un moment dat,0,1,1,tax impoz ridic,mult,prin plat tax impoz creeaz senzat plat seviciu public car benefic moment
Coruptia,Aplicarea lui in raport cu functia detinuta. ,Nedreptate,0,1,0,corupt,aplic raport funct detin,nedrept
"Faptul că indiferent de suma colectată de către stat, nu se observă diferențe în modul de repartizare a banilor. ",Aș expune într-un mod clar și transparent toate activitățile și informațiile de care cetățeanul are nevoie. ,Servicii publice care în mare parte lasă de dorit în ceea ce privește calitatea lor. ,0,1,1,fapt indiferent sum colect catr stat observ diferent mod repartiz ban,expun intr un clar transparent toat activitat informat car cetatean nevoi,servic public car mar part las dorit cee privest calitat
Corupția ,Ciruptia,Corupție,0,0,1,corupt,cirupt,corupt
Faptul că trebuie de rectificat de două sau trei ori pe an,Aș schimba sursele de venit la bugetul statului prin investiții de durată ce ar aduce noi finanțări peste o perioadă,Ne oferă instabilitate și emigrării preponderente spre țările din Vestul Europei sau SUA. Ne mai face ca sediul firmelor să fie plasate în țări numite paradisurile fiscale unde nu plătesc impozite și România nu are de cîștigat nimic dacă sunt asemenea francize,1,0,0,fapt trebui rectific dou tre,schimb sur venit buget stat prin investit durat aduc finantar pest perioad,ofer instabil emigrar preponderent spre tar vest europe fac sed firm plasat tar numit paradisur fiscal unde plat impoz roman cistig nimic dac sunt asemen franciz
coruptia,multe,nesiguranță,0,1,0,corupt,mult,nesigurant
Coruptia si lipsa de specialisti in domeniu fiscal,Punerea in functie doar a persoanelor inalt pregatite deoarece sistemul fiscal este deosebit de important si fragil,Usoare beneficii in cadrul serviciilor publice din pricina ca sunt student,0,0,1,corupt lips specialist domeniu fiscal,puner funct doar persoan inalt pregat deoarec sist fiscal este deoseb import fragil,usoar benef cadr servic public pricin sunt student
Taxe prea mari pe salarii ,Eliminarea unor taxe cu un grad mic de impact asupra economiei,Taxe si impozite ridicate,0,0,0,tax pre mar salar,elimin unor tax grad impact asupr econom,tax impoz ridic
Lucrurile se schimba foarte des,Stabilitate ,-,0,1,1,lucrur schimb foart,stabil,
Lipsa stabilitātii,Oamenii care se afla la conducere ,"Nu vād rezultate spectaculoase, serviciile publice nu sunt excelente, economia este instabila, oamenii sunt sāraci . ",0,0,0,lips stabilitat,oamen car afla conduc,rezult spectacul servic public sunt excelent econom este instabil oamen sunt sarac
Lipsa de stabilitate,Masura split-tva,-,0,1,1,lips stabil,masur split tv,
Netransparenta,Relația dintre cetățean si stat pe domeniul fiscal,Un anumit nivel de siguranța ,0,1,1,netransparent,relat dintr cetatean stat domen fiscal,anum nivel sigurant
Netransparența.,Mai multă transparență în ceea ce priveşte fiscalitatea.,Stabilitate fiscală.,0,0,1,netransparent,mult transparent cee priv fiscal,stabil fiscal
.,.,. ,1,1,1,,,
"
Sistemul fiscal este un sistem birocratic si corupt.","reformarea sistemului fiscal  tinand cont de cateva principii : simplificare, echitabilitate, predictibilitate", urmăreşte realizarea obiectivelor politicii economice şi sociale a statului,0,1,1,sist fiscal este sist birocrat corupt,reform sist fiscal tinand cont catev princip simplific echit predict,urmar realiz obiect polit econom social stat
Multe.,Nu știu ,Nimic,1,0,0,mult,stiu,nimic
Se platesc multe impozite si taxe dintr-un salariu mic.,-,-,0,1,1,plat mult impoz tax dintr un salariu,,
Tot,Taxele ,Nimic,1,0,0,,tax,nimic
"In Romania veniturile fiscale si bugetare sunt dependente de veniturile din taxele si impozite indirecte,in timp ce in UE contributiile celor mari 3 categorii de impozite si taxe sunt relativ apropiate la formarea venitului. ","Este nevoie de mai multa transparență ,stabilitate si predictabilitate in politica fiscala,iar povara administrativa de pe umeri contribuabililor trebuie redusa prin eficientizarea sistemului de administratie fiscala.",Asigurarea res.financiare.,0,1,1,roman venitur fiscal buget sunt dependent venitur tax impoz indirect timp contrib celor mar categor impoz tax sunt relat aprop form venit,este nevoi mult transparent stabil predict polit fiscal povar administr umer contribu trebui redus prin eficientiz sist administrat fiscal,asigur res financiar
-,-,-,1,1,1,,,
birocratia,birocratia si anumite demersuri aferente investitiilor ,accesul la anumite servicii,0,0,0,birocrat,birocrat anum demersur aferent invest,acces anum servic
taxe ridicate ,as schimba ceva in asa fel incat sa sustin sistemul juridic,taxe mari,0,0,0,tax ridic,schimb cev incat sustin sist jurid,tax mar
Birocratia,Birocratia,Accesul la anumite servicii publice,0,0,0,birocrat,birocrat,acces anum servic public
Controlul tot mai des a firmelor,Impozit mai mic pe profit,Impozit mare pe orice.,0,0,0,control firm,impoz profit,impoz mar oric
"În România, veniturile fiscale și bugetare sunt dependente de veniturile din taxele si impozitele indirecte (TVA, accize, taxe vamale etc.)","  O birocraţie mai puţin excesivă, reducerea numărului de taxe şi a plăţilor aferente, încurajarea investiţiilor şi chiar diminuarea cotelor taxelor, precum şi facilitarea unui dialog eficient şi coerent între autorităţile fiscale şi contribuabili ar putea fi alte plusuri în creşterea competivităţii României.
  Dezvoltarea și implementarea unei strategii fiscale moderne și predictibile pe termen mediu și lung ar fi esențială în contextul concurenței ce se manifestă între statele europene pentru atragerea de noi investiții și crearea de noi locuri de muncă.
  Trebuie promovate nu doar depunerea electronică a declaraţiilor fiscale şi plata electronică a acestora, dar şi controalele fiscale electronice.
  Este nevoie de mai multă stabilitate, transparenţă şi predictabilitate în politica fiscală.",Asigură resursele financiare necesare îndeplinirii rolului statului în economie.,1,1,1,roman venitur fiscal buget sunt dependent venitur tax impoz indirect acciz tax vamal,birocr putin exces reduc numar tax plat aferent incuraj invest chiar diminu cot tax precum facilit unu dialog eficient coerent intre autor fiscal contribu put alte plusur crest compet roman dezvolt implement une strateg fiscal modern predictib termen mediu lung esential context concurente manifest intre stat europen pentru atrag investit crear locur munc trebui promov doar depun electron declar fiscal plat electron acestor controal fiscal electron este nevoi mult stabil transparent predict polit fiscal,asig resur financiar neces indeplinir rol stat econom
Nu are logica și este corupt.,Nu știu ,Ne oferă diferite informații economice. ,0,0,1,logic este corupt,stiu,ofer difer informat econom
Sistemul fiscal ii greu si necesita implicarea unor contabili pentru ca cetățenii să.si depună la timp declarațiile de venit. ,As incerca sa simplific munca de colectare și evidența impozitelor. ,O putere fiscală.,0,0,1,sist fiscal greu neces implic unor contabil pentru cetaten sa s depun timp declarat venit,incerc simplif munc colect evident impoz,puter fiscal
"Birocratia, inconsistenta si nepredictabilitatra",As incerca sa schimb cat mai putin pentru a nu ii bulversa pe oameni ,Foarte putine beneficii,0,0,0,birocrat inconsistent nepredictabilitatr,incerc schimb putin pentru bulvers oamen,foart putin benef
"Birocrația
","Având in vedere faptul ca materia Finanțele publice ne-a ajutat sa ne formam o imagine obiectiva asupra statului si funcționalitățile acestuia , eu unul as realiza unele schimbări favorabile atât pentru stat cât și pentru cetățeni.",Unele beneficii dar și unele piedici din punct de vedere economic,0,1,0,birocrat,avand veder fapt mater finant public ne ajut form imagin obiect asupr stat functionalitat acestui un realiz une schimbar favor atat pentru stat pentru cetaten,une benef une piedic punct veder econom
"Lipsa de predictibilitate si de transparenta.
Informatizare redusa.
Inechitate.
Subordonare politica.
Lipsa de eficienta.","Gradul de transparenta.
Imbunatatirea interactiunii online.
Cresterea responsabilitatii fata de platitorii de taxe.",Ocazia de a colecta si a irosii banii prin ineficienta si coruptie.,0,0,0,lips predict transparent informatiz redus inech subordon polit lips eficient,grad transparent imbunatat interactiun onlin crest respons fat platit tax,ocaz colect iros ban prin ineficient corupt
"După cum văd eu sistemul fiscal românesc încă există aspecte care trebuie îmbunătățite, precum: comunicarea dintre instituțiile publice și cetățeni, elaborarea bugetelor.",Categoric m-aș axa pe oferirea unor servicii publice de calitate deoarece prima interacțiune a unei persoane cu sistemul fiscal este prin intermediul reprezentanților publici ai acestuia.,"Accesul la studii gratuite, burse de merit și facilități la transportul în comun.",1,1,1,dup sist fiscal roman inca exist aspect car trebui imbunatat precum comunic dintr institut public cetaten elabor buget,categor m as ofer unor servic public calitat deoarec prim interactiun une persoan sist fiscal este prin intermed reprezentant public acestui,acces stud gratuit bur merit facilitat transport comun
coruptia !,As dori sa fac ca totul sa fie transparent in ceea ce priveste cheltuielile !!, .,1,0,1,corupt,dor tot transparent cee privest cheltuiel,
Faptul că banii colectați nu sunt investiți si administrați în mod corect de către stat.,"modul ce colectare și administrare, imtroducerea penalizărilor pentru neplată sau neplată la timp","Încă în momentul de față banii colectați nu sunt administrați cum trebuie, deci sistemul fiscal nu oferă prea multe avantaje sau beneficii.",0,1,0,fapt ban colectat sunt investit administrat corect catr stat,mod colect administr imtroduc penalizar pentru neplat neplat timp,inca moment fat ban colectat sunt administrat trebui dec sist fiscal ofer pre mult avantaj benef
Dezechilibrarea veniturilor după proveniență,"reducerea numărului de taxe şi a plăţilor aferente, încurajarea investiţiilor şi chiar diminuarea cotelor taxelor","ajutoarele pentru bolile grave și incurabile, ajutoarele pentru dispozitive medicale",0,0,1,dezechilibr venitur dup provenient,reduc numar tax plat aferent incuraj invest chiar diminu cot tax,ajutoar pentru bol grav incur ajutoar pentru dispoz medic
"Proasta gestionare a banului public de catre persoanele aflate la conducere , folosirea acestora ca instrument de manipulare a maselor de oameni , lipsa transparentei privid cheltuielile pe care statul le realizeaza , serviciile proaste in cadrul institutiilor publice.","As incerca sa eficientizez procesul de colectare a taxelor si impozitelor , prin educarea contribuabililor.","Ofera o oarecare siguranta ( șubredă ) deoarece acesta intr-o mare masura asigura bugetul de stat , care mai apoi este folosit pentru asigurarea serviciilor publice si investitile in infrastructura , de proasta calitate la momentul actual .",0,0,0,proast gestion ban public catr persoan aflat conduc folos acestor instrument manipul mas oamen lips transparente privid cheltuiel car stat realizeaz servic proast cadr instit public,incerc eficientiz proces colect tax impoz prin educ contribu,ofer oarec sigur subred deoarec acest intr o mar masur asigur buget stat car apo este folos pentru asigur servic public invest infrastructur proast calitat moment actual
Incertitudinea,Predictibilitatea lor,Bătăi de cap,0,0,0,incertitudin,predict,bata
Faptul ca se tot schimba,"As incerca sa gasesc un mijloc prin care sa incerc sa ""echilibrez"" situatia",Nu prea multe,0,0,0,fapt schimb,incerc gasesc mijloc prin car incerc echilibr situat,pre mult
"Transparenta, încrederea",As oferi siguranța mai multă și transparenta,Prea putine lucruri pozitive,1,0,0,transparent incred,ofer sigurant mult transparent,pre putin lucrur pozit
"Platim taxe si impozite pentru a putea beneficiia de anumite servicii dar nu beneficiem niciodata de ele, banii sunt distribuiti pe salariile bugetarilor","modul de colectare a banilor din taxe si impozite, gestionarea banilor, colectarea de la corporatii",o povara si un stres enorm,0,0,1,plat tax impoz pentru put beneficii anum servic benefic niciod ban sunt distribu salar bugetar,mod colect ban tax impoz gestion ban colect corpor,povar stres enorm
